marmennill	m ɑ ɹ m ə n ɪ l
salagrama	ʃ aː l aː ɡ ɹ aː m ə
austronesian	ɔ s t ɹ o ʊ n i ʒ ə n
tay	t e ɪ
christkindl	k ɹ ɪ s t k ɪ n d ə l
nictitating	n ɪ k t ɪ t e ɪ t ɪ ŋ
jackalope	d͡ʒ æ k ə l o ʊ p
opacity	o ʊ p æ s ɪ t i
creeped	k ɹ i p t
scallywag	s k æ l ɪ w æ ɡ
abdicated	æ b d ɪ k e ɪ t ɪ d
three	θ ɹ i
shelley	ʃ ɛ l i
blabber	b l æ b ə ɹ
frikadelle	f ɹ ɪ k ə d ɛ l ə
preparation	p ɹ ɛ p ə ɹ e ɪ ʃ ə n
widower	w ɪ d o ʊ ɚ
strickle	s t r ɪ k l̩
bid	b ɪ d
democratic	d ɛ m ə k ɹ æ t ɪ k
market	m ɑ ɹ k ɪ t
vasoplegia	v e ɪ z o ʊ p l i d͡ʒ i ə
arouse	ə ɹ a ʊ z
inclusive	ɪ n k l u s ɪ v
endemic	ɛ n d ɛ m ɪ k
naufal	n ɔ f ə ɫ
aimings	e ɪ m ɪ ŋ z
sehnsucht	z e ɪ n z ʊ x t
clumpings	k l ʌ m p ɪ ŋ z
cowpea	k a ʊ p i
things	θ ɪ ŋ z
cribellum	k ɹ ɪ b ɛ l ə m
egregore	ɛ ɡ ɹ ɪ ɡ ɔ ɹ
wider	w a ɪ d ɚ
meem	m i m
lester	l ɛ s t ɚ
shitmas	ʃ ɪ t m ə s
upshot	ʌ p ʃ ɑ t
trivia	t ɹ ɪ v i ə
inquired	ɪ n k w a ɪ ɹ d
temper	t ɛ m p ɚ
dragra	d ɹ ʌ ɡ ɹ ə
redargue	ɹ ɛ d ɑ ɹ ɡ j u
furosemide	f j ʊ ɹ o ʊ s ə m a ɪ d
zodiac	z o ʊ d ɪ æ k
diplotene	d ɪ p l ə t i n
burra	b ʌ ɹ ə
shipped	ʃ ɪ p t
penumbra	p ə n ʌ m b ɹ ə
zeitnot	z a ɪ t n ə t
ladino	l ə d i n o ʊ
machinery	m ə ʃ i n ə ɹ i
miscalibrate	m ɪ s k æ l ɪ b ɹ e ɪ t
vole	v o ʊ l
dunks	d ʌ ŋ k s
superstruct	s u p ə ɹ s t ɹ ʌ k t
vane	v e ɪ n
philomena	f ɪ l ə m i n ə
paracelsus	p æ ɹ ə s ɛ l s ə s
rakish	ɹ e ɪ k ɪ ʃ
okayish	o ʊ k e ɪ ɪ ʃ
fsck	f ʌ s k
incisively	ɪ n s a ɪ s ə v l i
ichthyosaurus	ɪ k θ i ə s ɔ ɹ ə s
seven	s ɛ v ə n
basement	b e ɪ s m ə n t
notoriety	n o ʊ t ɚ a ɪ ə t i
receptacle	ɹ ə s ɛ p t ə k ə l
remanent	ɹ ɛ m ə n ə n t
ebbs	ɛ b z
weight	w e ɪ t
automobile	ɔ t ə m o ʊ b i l
wop	w ɔ p
papa	p ɑ p ə
compounder	k ə m p a ʊ n d ə ɹ
sternum	s t ɝ n ə m
competitively	k ə m p ɛ t ɪ t ɪ v l i
temporarily	t ɛ m p ə ɹ ɛ ɹ ə l i
alfisol	æ l f ɪ s ɔ l
doxx	d ɑ k s
sepoy	s i p ɔ ɪ
eindhoven	a ɪ n d h o ʊ v ə n
carborundum	k ɑ ɹ b ə ɹ ʌ n d ə m
trashy	t ɹ æ ʃ i
pedophilia	p ɛ d ə f i l i ə
rubble	ɹ ʌ b ə l
cespitous	s ɛ s p ɪ t ə s
oversleep	o ʊ v ə ɹ s l i p
nondescript	n ɑ n d ə s k ɹ ɪ p t
victim	v ɪ k t ɪ m
auguste	a ʊ ɡ ʊ s t
buffon	b ʌ f ə n
imband	ɪ m b æ n d
maravedi	m æ ɹ ə v e ɪ d i
clam	k l æ m
spilth	s p ɪ l θ
stylesheet	s t a ɪ l ʃ i t
misperceptive	m ɪ s p ə ɹ s ɛ p t ɪ v
beckoning	b ɛ k ə n ɪ ŋ
oresund	ɜ ˞ s ʊ n d
blitz	b l ɪ t s
mers	m ɝ z
possessed	p ə z ɛ s t
quarter	k w ɔ ɹ t ɚ
spadassinicide	s p ɑ d ə s ɪ n ɪ s e ɪ d
drava	d ɹ ɑ v ə
insidious	ɪ n s ɪ d i ə s
sextiles	s ɛ k s t a ɪ l z
flavorsome	f l e ɪ v ɚ s ə m
eyelid	a ɪ l ɪ d
fenvalerate	f ɛ n v æ l ə ɹ e ɪ t
cense	s ɛ n s
induct	ɪ n d ʌ k t
whoomp	w u m p
doubt	d a ʊ t
hypercorrection	h a ɪ p ɚ k ə ɹ ɛ k ʃ ə n
theta	θ e ɪ t ə
jeggings	d͡ʒ ɛ ɡ ɪ ŋ z
tetratheism	t ɛ t ɹ ə θ i ɪ z ə m
jinks	d͡ʒ ɪ ŋ k s
titmouse	t ɪ t m a ʊ s
margot	m ɑ ɹ ɡ o ʊ
enascent	ɪ n æ s ə n t
cannock	k æ n ə k
strait	s t ɹ e ɪ t
phoenician	f ə n i ʃ ə n
mislay	m ɪ s l e ɪ
slubber	s l ʌ b ə ɹ
iota	a ɪ o ʊ t ə
temperance	t ɛ m p ə ɹ ə n s
mongolian	m ɔ ŋ ɡ o ʊ l i ə n
regmacarp	ɹ ɛ ɡ m ə k ɑ ɹ p
usher	ʌ ʃ ə ɹ
imping	ɪ m p ɪ ŋ
receptionist	ɹ ɪ s ɛ p ʃ ə n ɪ s t
miffed	m ɪ f t
midas	m a ɪ d ə s
annoyance	ə n ɔ ɪ ə n s
liberal	l ɪ b ə ɹ ə l
acrylamide	ə k ɹ ɪ l ə m a ɪ d
bending	b ɛ n d ɪ ŋ
wendigo	w ɛ n d i ɡ o ʊ
manicure	m æ n ɪ k j ʊ ɹ
playright	p l e j ɹ a j t
heinie	h a ɪ n i
ireland	a ɪ ə ɹ l ə n d
disbase	d ɪ s b e ɪ s
collecting	k ə l ɛ k t ɪ ŋ
backer	b æ k ə ɹ
naegleriasis	n ɛ ɡ l ə ɹ a ɪ ə s ɪ s
still	s t ɪ l
ataxy	e ɪ t æ k s i
denigrate	d ɛ n ɪ ɡ ɹ e ɪ t
clade	k l e ɪ d
microscopy	m a ɪ k ɹ ɔ s k ə p i
ouray	j ʊ ə ɹ e ɪ
fervor	f ɝ v ɚ
glossology	ɡ l ɔ s ɑ l ə d͡ʒ i
depoliticization	d i p ə l ɪ t ɪ s a ɪ z e ɪ ʃ ə n
prosciutto	p ɹ ə ʃ u t o ʊ
woodhen	w ʊ d h ɛ n
lemonade	l ɛ m ə n e ɪ d
eunice	j u n ɪ s
jumbo	d͡ʒ ʌ m b o ʊ
unsatisfactory	ʌ n s æ t ɪ s f æ k t ə ɹ i
peds	p i d z
creamy	k ɹ i m i
tralee	t ɹ æ l i
ditto	d ɪ t o ʊ
roving	ɹ o ʊ v ɪ ŋ
propofol	p ɹ o ʊ p ə f o ʊ l
clag	k l æ ɡ
rog	ɹ ɔ d͡ʒ
ajangle	ə d͡ʒ æ ŋ ɡ ə l
cyanophyte	s a ɪ ə n o ʊ f a ɪ t
psychiatrist	s a ɪ k a ɪ ə t ɹ ɪ s t
kindy	k ɪ n d i
receives	ɹ ɪ s i v z
puppies	p ʌ p i z
convinces	k ə n v ɪ n s ɪ z
icosahedra	a ɪ k ɔ s ə h i d ɹ ə
triennial	t ɹ a ɪ ɛ n ɪ ə l
anxiouser	æ ŋ k ʃ ə s ə ɹ
overrate	o ʊ v ə ɹ e ɪ t
hermetic	h ə ɹ m ɛ t ɪ k
breakings	b ɹ e ɪ k ɪ ŋ z
timeworn	t a ɪ m w ɔ ɹ n
monika	m ɔ n ɪ k ə
select	s ɪ l ɛ k t
crested	k ɹ ɛ s t ɪ d
distention	d ɪ s t ɛ n ʃ ə n
beauty	b j u t i
autotroph	ɔ ɾ ə t ɹ o ʊ f
mordecai	m ɔ ɹ d ə k a ɪ̯
ways	w e ɪ z
creeps	k ɹ i p s
colonize	k ɑ l ə n a ɪ z
responded	ɹ ə s p ɑ n d ɪ d
puns	p ʌ n z
sink	s ɪ ŋ k
ejective	i d͡ʒ ɛ k t ɪ v
comminate	k ɔ m ɪ n e ɪ t
vistula	v ɪ s t͡ʃ ʊ l ə
seiyuu	s e ɪ j u
lorchel	l ɔ ɹ k ə l
astrophilosophy	æ s t ɹ ə f ɪ l ɔ s ə f i
harmful	h ɑ ɹ m f l̩
strontian	s t ɹ ɔ n t i ə n
succade	s ə k e ɪ d
impeachment	i m p i t͡ʃ m ə n t
pricking	p ɹ ɪ k ɪ ŋ
commute	k ə m j u t
prunes	p ɹ u n z
possesses	p ə z ɛ s ɪ z
rue	ɹ u
limpid	l ɪ m p ɪ d
funemployed	f ʌ n ɪ m p l ɔ ɪ d
cupellation	k j u p ə l e ɪ ʃ ə n
clatsop	k l æ t s ə p
anion	æ n a ɪ ɑ n
inquire	ɪ n k w a ɪ ɹ
dared	d ɛ ɹ d
gratefully	ɡ ɹ e ɪ t f ə l i
gribenes	ɡ ɹ ɪ b ə n ə s
hannah	h æ n ə
iatrogenesis	a ɪ æ t ɹ o ʊ d͡ʒ ɛ n ɪ s ɪ s
ablatival	æ b l ə t a ɪ v l̩
dramata	d ɹ ɑ m ə t ə
deliver	d ɪ l ɪ v ɚ
felter	f ɛ l t ə ɹ
corgi	k ɔ ɹ ɡ i
denver	d ɛ n v ɚ
alcmene	æ l k m i n i
poser	p o ʊ z ɚ
opisthobranch	ɵ p ɪ s θ ə b ɹ æ ŋ k
alkin	ɔ l k ɪ n
feelefold	f i l f o ʊ l d
kooks	k u k s
bilk	b ɪ l k
dawlish	d ɔ l ɪ ʃ
ski	s k i
cradle	k ɹ e ɪ d ə l
ulsterette	ʌ l s t ə ɹ ɛ t
sweepstake	s w i p s t e ɪ k
coolibah	k u l ɪ b ɑ
tailbone	t e ɪ l b o ʊ n
xanthopsydracia	z æ n θ ɔ p s a ɪ d ɹ e ɪ ʃ i ə
hermitian	h ɜ ɹ m ɪ ʃ ə n
tension	t ɛ n ʃ ə n
aspheterism	æ s f ɛ t ə ɹ ɪ z ə m
borders	b ɔ ɹ d ə ɹ z
undervalue	ʌ n d ə ɹ v æ l j u
sandpit	s æ n d p ɪ t
snoring	s n ɔ ɹ ɪ ŋ
conveyals	k ə n v e ɪ ə l z
vulnerability	v ʌ l n ə ɹ ə b ɪ l ɪ t i
stye	s t a ɪ
canasta	k ə n æ s t ə
chandry	t͡ʃ æ n d r i
olympiad	ə l ɪ m p i æ d
dunham	d ʌ n ə m
brined	b ɹ a ɪ n d
darmstadtium	d ɑ ɹ m ʃ t ɑ t i ə m
lieberal	l a ɪ b ə ɹ ə l
ort	ɔ ɹ t
receiver	ɹ ə s i v ɚ
michaela	m ɪ k e ɪ l ə
yelps	j ɛ l p s
soubrette	s u b ɹ ɛ t
ham	h æ m
sotol	s o ʊ t o ʊ l
taffaty	t æ f ə t i
hosing	h o ʊ z ɪ ŋ
shieling	ʃ i l ɪ ŋ
pellow	p ɛ l o ʊ
tarantism	t æ ɹ ə n t ɪ z m
russian	ɹ ʌ ʃ ə n
shoaly	ʃ o ʊ l i
codes	k o ʊ d z
neologism	n i ɔ l ə d͡ʒ ɪ z ə m
snub	s n ʌ b
jigget	d͡ʒ ɪ ɡ ə t
quake	k w e ɪ k
eclaircissement	e ɪ k l ɛ ɹ s i s m ɔ̃ n
tuscan	t ʌ s k ə n
broody	b ɹ u d i
chevalier	ʃ ɛ v ə l ɪ ɹ
specialty	s p ɛ ʃ ə l t i
collation	k ə l e ɪ ʃ ə n
pygopodous	p a ɪ ɡ ɔ p ə d ə s
delivered	d ɪ l ɪ v ɚ d
boot	b u t
paducah	p ə d u k ə
curlew	k ɝ l u
pockets	p ɑ k ɪ t s
sleaze	s l i z
bicyclian	b a ɪ s ɪ k l i ə n
neolalia	n i o ʊ l e ɪ l i ə
placings	p l e ɪ s ɪ ŋ z
zaatar	z ɑ t ɑ ɹ
hackneyed	h æ k n i d
elagabalus	ɛ l ə ɡ æ b ə l ə s
untouched	ʌ n t ʌ t͡ʃ t
hiv	e ɪ t͡ʃ a ɪ v i
convinced	k ə n v ɪ n s t
piphilologist	p a ɪ f ɪ l ɑ l ə d͡ʒ ɪ s t
